"Date","Count","lower","upper"
2024-04-01,1,1,1
2024-04-02,0,0,0
2024-04-03,0,0,0
2024-04-04,0,0,0
2024-04-05,0,0,0
2024-04-06,0,0,0
2024-04-07,14,14,14
2024-04-08,0,0,0
2024-04-09,0,0,0
2024-04-10,0,0,0
2024-04-11,0,0,0
2024-04-12,1,1,1
2024-04-13,0,0,0
2024-04-14,15,15,15
2024-04-15,0,0,0
2024-04-16,0,0,0
2024-04-17,0,0,0
2024-04-18,0,0,0
2024-04-19,0,0,0
2024-04-20,0,0,0
2024-04-21,14,14,14
2024-04-22,0,0,0
2024-04-23,0,0,0
2024-04-24,0,0,0
2024-04-25,0,0,0
2024-04-26,0,0,0
2024-04-27,0,0,0
2024-04-28,16,16,16
2024-04-29,0,0,0
2024-04-30,0,0,0
